model,dataset,MAE_train,MAE_test,R^2_train,R^2_test,MAE,R^2
RandomForest,raw_data,1.6736937495213469,1.8606068638591144,0.7384181549040346,0.6383820476946431,,
LightGBM,raw_data,1.7998128245298965,1.829312622943501,0.6913658891610939,0.6404874446901929,,
LightGBM,mv_avg_20,0.007324688715076514,0.22583016712536616,0.999977107854363,0.9907448201286057,,
LightGBM,mv_avg_10,0.1503507244875455,0.5585966071233786,0.9975949566014711,0.9616928906220907,,
LightGBM,mv_avg_5,0.39179919154146214,0.9175949348566186,0.9850962111416661,0.9078973513651136,,
LightGBM,mv_avg_2,1.248439645071435,1.5128420424176727,0.8500493726199009,0.7538013860994554,,
LightGBM,add_plane_vec,1.6753616668463134,1.8340351471210619,0.7304271839776578,0.6385160293649423,,
LightGBM,raw_data_del_z,1.796833237926709,1.8435301635099632,0.6927924516609014,0.6384418010298079,,
LightGBM,raw_data_del_yz,1.8204286513253418,1.8456368597731967,0.688169439631553,0.6351963165738779,,
LightGBM,raw_data_del_vib,1.8744666488860786,1.859717555030707,0.672430470967041,0.6336270143516457,,
Lenear,acoustic_rms_and_tool_wear,,,,,2.1050068676640574,0.5872537478567409
LightGBM,mv_avg20_del_vib,0.28919208334759344,0.3997273920798632,0.9914515149283678,0.9821766729221145,,
Lenear,mv_avg_ar_and_tool_wear,,,,,0.5720352741498715,0.9705271327589973
